Agent Implementation;World Name & Level Number;Collectibles Collected;Collectibles to Catch;Passed Level?;Elapsed Game Time;Time Limit;Elapsed Real Time
GeometryFriendsAgents;GF 2016 Cooperative Public 1;0;3;0;115,500005485956;115;7
GeometryFriendsAgents;GF 2016 Circle Public 3;1;5;0;55,5000026361085;55;2
GeometryFriendsAgents;GF 2016 Circle Public 3;0;5;0;55,5000026361085;55;2
GeometryFriendsAgents;GF 2016 Circle Public 3;1;5;0;55,5000026361085;55;2
GeometryFriendsAgents;GF 2016 Circle Public 3;0;5;0;55,5000026361085;55;2
GeometryFriendsAgents;GF 2016 Circle Public 3;0;5;0;55,5000026361085;55;2
GeometryFriendsAgents;GF 2016 Circle Public 3;0;5;0;55,5000026361085;55;4
GeometryFriendsAgents;GF 2016 Circle Public 3;0;5;0;55,5000026361085;55;4
GeometryFriendsAgents;GF 2016 Circle Public 3;0;5;0;55,5000026361085;55;4
GeometryFriendsAgents;GF 2016 Circle Public 3;0;5;0;55,5000026361085;55;4
GeometryFriendsAgents;GF 2016 Circle Public 3;0;5;0;55,5000026361085;55;4
GeometryFriendsAgents;GF 2016 Circle Public 3;0;5;0;55,5000026361085;55;4
GeometryFriendsAgents;GF 2016 Circle Public 3;0;5;0;55,5000026361085;55;4
GeometryFriendsAgents;GF 2016 Circle Public 3;0;5;0;55,5000026361085;55;4
2016-05-14_20:32:42;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,0150781130759;55;4;0;
2016-05-14_20:32:47;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,0744781158973;55;5;0;
2016-05-14_20:33:25;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,0838523163425;55;5;0;
2016-05-14_20:33:30;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,0678165155808;55;5;0;
2016-05-14_20:33:36;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,0717072157656;55;5;0;
2016-05-14_20:33:41;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,1739654206226;55;5;0;
2016-05-14_20:33:49;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,1533734196446;55;5;0;
2016-05-14_20:49:29;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,086726616479;55;5;0;
2016-05-14_20:49:53;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,1577811198539;55;5;0;
2016-05-14_20:49:58;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,1587051198978;55;5;0;
2016-05-14_20:50:03;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,0593278151776;55;5;0;
2016-05-14_20:50:08;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,0872183165023;55;5;0;
2016-05-14_20:52:50;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,1586710198962;55;5;0;
2016-05-14_20:52:55;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,1440674192026;55;5;0;
2016-05-14_21:10:38;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;69,3386057934069;55;1;0;
2016-05-14_21:10:38;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;56,121707665638;55;0;0;
2016-05-14_21:10:39;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,894412654842;55;0;0;
2016-05-14_21:10:40;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;56,1145376652974;55;0;0;
2016-05-14_21:10:41;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,0745426159003;55;0;0;
2016-05-14_21:10:41;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,3873076307558;55;0;0;
2016-05-14_21:10:42;AgentsWithPrediction;GF 2016 Circle Public;3;3;5;0;55,5297701375224;55;0;300;
2016-05-14_21:10:43;AgentsWithPrediction;GF 2016 Circle Public;3;2;5;0;55,5124601367002;55;0;200;
2016-05-14_21:10:44;AgentsWithPrediction;GF 2016 Circle Public;3;1;5;0;55,1854151211665;55;0;100;
2016-05-14_21:10:44;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,5105551366098;55;0;0;
2016-05-14_21:10:45;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,7757176492043;55;0;0;
2016-05-14_21:10:46;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;56,0659526629897;55;0;0;
2016-05-14_21:10:47;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;56,2617701722906;55;0;0;
2016-05-14_21:10:47;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,1636651201334;55;0;0;
2016-05-14_21:10:48;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;56,2433876714174;55;0;0;
2016-05-14_21:10:49;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;56,1608726674982;55;0;0;
2016-05-14_21:10:50;AgentsWithPrediction;GF 2016 Circle Public;3;1;5;0;55,2317201233658;55;0;100;
2016-05-14_21:10:50;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,5146726368053;55;0;0;
2016-05-14_21:10:51;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,1613251200222;55;0;0;
2016-05-14_21:10:52;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,9931201595304;55;0;0;
2016-05-14_21:12:54;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;66,9301606790119;55;1;0;
2016-05-14_21:12:55;AgentsWithPrediction;GF 2016 Circle Public;3;1;5;0;55,3131476272334;55;0;100;
2016-05-14_21:12:56;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,3316801281137;55;0;0;
2016-05-14_21:12:56;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,5642926391622;55;0;0;
2016-05-14_21:12:57;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,6342601424854;55;0;0;
2016-05-14_21:12:58;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,8599801532066;55;0;0;
2016-05-14_21:12:59;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,7922701499905;55;0;0;
2016-05-14_21:13:01;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;85,5742465645584;55;1;0;
2016-05-14_21:13:01;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,5129026367213;55;0;0;
2016-05-14_21:13:02;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,4536526339071;55;0;0;
2016-05-14_21:13:03;AgentsWithPrediction;GF 2016 Circle Public;3;2;5;0;55,7037176457845;55;0;200;
2016-05-14_21:13:04;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;56,064505162921;55;0;0;
2016-05-14_21:13:04;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,7568851483098;55;0;0;
2016-05-14_21:13:05;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;56,3096501745648;55;0;0;
2016-05-14_21:13:06;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,3568426293088;55;0;0;
2016-05-14_21:13:07;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,1345276187494;55;0;0;
2016-05-14_21:13:07;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;56,1407351665417;55;0;0;
2016-05-14_21:13:09;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;59,7037828357774;55;1;0;
2016-05-14_21:13:09;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,5236801372332;55;0;0;
2016-05-14_21:13:10;AgentsWithPrediction;GF 2016 Circle Public;3;0;5;0;55,2513851242999;55;0;0;
